,Epoch,Decay,Learning Rate,Momentum,Feature Size,Strides,Filter_Size,Kernel_size,Score
0,174,0.938089665714416,0.000789525923169667,0.9143998866025395,323,1,6,16,0.20812492585480993
1,161,0.9363632267188896,0.00021671339635491162,0.9442838419775978,124,4,48,17,0.18628920517537906
2,88,0.9090983309949483,8.097944055145903e-05,0.8831925625880838,174,3,37,9,0.1910095802438793
3,144,0.9588838992558897,0.0006888326197851336,0.8498307735286951,392,1,27,10,0.21768878956178975
4,145,0.989554788824488,0.0003375430139424712,0.8296542206302259,336,1,35,5,0.20988664425225032
5,135,0.9112603693478797,0.0007165146942747617,0.9004387450901906,498,3,27,3,0.2129304408806505
6,94,0.9669245250902735,0.0003974562878087961,0.8431415623430596,471,3,44,5,0.23011569383571734
7,53,0.952858945723357,0.00028080207930093656,0.8916360063723099,23,2,8,19,0.04826617551618638
8,133,0.9873690605191772,0.00041719286747454786,0.8857572927669741,16,2,38,15,0.09090956463897677
9,191,0.9276879687209085,0.0007807005908916861,0.8029847093966345,224,1,23,11,0.19596809169420829
10,51,0.945880773711155,0.0005004003897742447,0.8048247163373297,401,2,9,18,0.2173358723418324
11,65,0.973891440217766,0.00045804577591995917,0.8462845287232874,389,1,34,6,0.18864552554202407
12,183,0.967049009056828,8.191019191263198e-06,0.8510992514877089,479,1,46,3,0.23145436816406947
13,60,0.9879616971194081,0.0002819140302328911,0.8609784842858519,148,3,8,10,0.1884926365166114
14,90,0.9504254923016874,0.0005123979372464636,0.8834797818637218,120,1,10,4,0.18587496217626792
15,183,0.9588968902722873,6.828886604730916e-05,0.8956942396648119,321,2,22,7,0.2078425800476555
16,133,0.9842177214916977,0.0004473006246966946,0.8428114999104758,30,3,23,9,0.1006740803424312
17,173,0.9702897344306374,0.0009437415742454819,0.9441156998207759,391,3,13,6,0.21747423663980675
18,138,0.9653813244359304,0.000543041070560735,0.8934301409546505,489,3,24,10,0.2331535747165189
19,139,0.9017114678995785,0.00014720249621627467,0.8508511691077983,357,4,26,5,0.2127025033754294
20,74,0.927626116823281,0.0003797265388898757,0.8785359563834939,302,2,38,18,0.2053301984392487
21,122,0.9102418166677378,0.0008353564580435021,0.9056442646110737,211,1,9,6,0.1946379813082489
22,98,0.920230705269687,0.0004649207129374562,0.8578356117237674,111,4,14,7,0.18496697867167008
23,74,0.9774504930921704,0.0004989331204088283,0.8785403461646489,324,3,35,7,0.20826132525918914
24,198,0.9487488033247069,0.0003364902128570492,0.9444583168067455,244,4,37,16,0.19814370701385436
25,59,0.9599582372225751,0.0008610483762175122,0.9087374844100371,22,4,33,6,0.17640927769182546
26,132,0.9777266673468655,0.00037993215601181505,0.8297992635523748,309,1,28,6,0.2061440208201091
27,191,0.9117288614746807,7.007933804267716e-05,0.8374193728997796,180,3,25,4,0.19154039004771847
28,192,0.9721003005040962,0.0007192450331556344,0.8394458256103764,22,1,18,12,0.1379231765792875
29,84,0.9673982793127481,0.0005045619185242327,0.8890002337689811,169,2,21,7,0.1891061087538089
30,117,0.9774947755880435,0.0003217192806725877,0.8779975807581595,307,3,47,15,0.20599278111866012
31,78,0.92984280343174,0.000659148349283906,0.9317648313894626,482,1,13,9,0.2319613455112781
32,41,0.9327448965450676,0.0008101055462752581,0.8587040159588475,407,3,12,15,0.19102278400868714
33,87,0.9339724846199509,0.0004365267689844741,0.8277244027657165,285,4,32,4,0.1986139308199134
34,143,0.9398650952526343,0.0003151437849817403,0.853150058273026,261,1,19,4,0.20013895203882562
35,92,0.9818578458335743,8.920783362837374e-05,0.8841715402503298,145,3,43,16,0.18836779779636523
36,53,0.9370655631590025,0.00032624177258435777,0.8028402492862676,35,2,27,8,0.17761324079709317
37,124,0.9759896083419222,0.0007285257132543376,0.8203954454253168,30,2,14,4,0.1771493043674749
38,120,0.9834366951347405,7.074493428225358e-05,0.9195410474329396,173,4,29,18,0.1909190447676509
39,88,0.9691116314368232,0.0003174491016220471,0.8866488584851869,263,4,19,9,0.2003795555469781
40,151,0.9726377365629659,0.0007373138562464862,0.9426001979996554,190,4,41,9,0.1924466685834888
41,150,0.9036100648606781,0.00034173067747583584,0.9308191428831509,289,4,17,18,0.20363450172142342
42,95,0.9660164024179649,0.0005561320238984161,0.9061807338656492,70,1,8,16,0.18091510256994234
43,108,0.9888368218411255,0.0008519157167216838,0.809227947809812,41,4,9,4,0.17129167905942727
44,199,0.9196125676549741,0.0005642738033936772,0.8633964328844785,199,3,12,12,0.19336114552888004
45,180,0.9000444202581992,0.0008828978163602141,0.9035349198277525,447,4,38,18,0.22620765303664134
46,167,0.9733083952725815,0.0007343350892459887,0.8179298090015866,42,4,21,8,0.17825925738592469
47,74,0.9059406441739072,0.000656057590088229,0.946198967809643,151,1,14,16,0.18890680158148807
48,158,0.9840182798912341,0.0008234272062952911,0.9126293891517464,341,1,36,18,0.2050471571508785
49,114,0.957491067073735,0.0006368401580983347,0.8980537952695921,30,2,39,15,0.11387000696189853
