,Epoch,Decay,Learning Rate,Momentum,Feature Size,Strides,Filter_Size,Kernel_size,Score
0,144,0.9321467049723834,0.0008057103370951255,0.8200009196109624,420,4,45,6,0.1997802479954963
1,59,0.9652942018722657,0.0005991044866620786,0.9285830099819807,45,1,31,15,0.17215977238494287
2,161,0.9656729325304808,0.0008148826274951312,0.8132101849067135,484,3,18,8,0.21821845173616297
3,195,0.9447794755998415,0.000496907959842701,0.9278199868942164,214,3,35,19,0.18803455475122835
4,127,0.9035162346388684,0.0004081091145943248,0.9464713379671825,433,3,49,8,0.21598099331808396
5,137,0.9039257737821534,0.0007597926834041266,0.9275934572862732,288,1,32,5,0.19619714902375887
6,50,0.9410393621867843,0.00011332566242929287,0.9209644001034767,206,1,10,6,0.18722800083440208
7,92,0.9195254076074375,0.0003503974519187324,0.910741299275393,274,2,18,9,0.13899106895123436
8,176,0.9665639841868867,0.00041336125066866893,0.8532972016937876,226,1,37,4,0.17536024443141304
9,101,0.9056616996905906,0.00041986590663070845,0.9059507900098773,164,4,29,12,0.1834929855063078
10,89,0.9304255176790068,0.0004576695217342147,0.8701189975345837,175,2,37,16,0.18445497273004333
11,143,0.9810369087097379,3.307597286920442e-05,0.808020674885606,26,3,47,13,0.1704493609404741
12,44,0.9018381078266355,0.0006402220583204775,0.8086602308186366,387,2,18,3,0.2090812548226917
13,142,0.9771432756132811,0.000820301968875338,0.8251394478024381,476,2,23,3,0.22275158336405174
14,94,0.9418315180222409,0.0008993395054112008,0.8238633385303255,50,1,33,6,0.17261357347472636
15,175,0.9700797353108754,0.0008171048495252404,0.8504971803831283,187,3,44,4,0.1855076525101489
16,165,0.9075245117455275,0.0004747803542986405,0.9301758634983752,469,3,9,3,0.21938588914650684
17,73,0.9548298931285428,0.00060921956251341,0.9168644195913574,263,4,33,15,0.1389868572080641
18,147,0.9373269936984406,0.0008863472935122193,0.9473485044854906,325,2,39,10,0.20050439445317852
19,182,0.9707957037466959,0.0005810592266647452,0.9410903426958442,405,4,18,14,0.2117891843763174
20,56,0.9482876338758741,0.0008015251494250867,0.9222384372922723,46,3,46,18,0.17225089640810853
21,181,0.9106674667907915,0.00047651783327616544,0.824697898797742,346,1,43,4,0.20211471776841558
22,193,0.9550953503727246,0.0009411414634941882,0.8654708329848253,187,2,28,4,0.18073590849371476
23,155,0.9192075866152284,0.0006233523898365565,0.8040976765543145,442,2,38,9,0.2173668959843261
24,43,0.9272724927687173,0.0008260916118790394,0.8655466970797165,447,3,30,9,0.21812206811161453
25,196,0.9549939101333372,0.0006955590788337385,0.8615842835001936,227,2,13,10,0.16362369316557981
26,175,0.9101162090159873,0.0007222833579121727,0.949010652752497,456,2,48,16,0.21560765228746256
27,148,0.9162700648322767,0.0005281811931694319,0.9020513222036524,41,4,39,6,0.15369542179704707
28,162,0.9003527150017812,0.0007891832051010218,0.9174879043230207,188,2,37,4,0.18559542137953794
29,171,0.9170442529450925,4.7953854163197366e-05,0.9284192141100341,499,2,45,5,0.22655351239180974
30,142,0.9100930639403295,0.0008374226507508461,0.8348126143020813,387,4,49,10,0.20921778878600328
31,162,0.985451412359061,0.0001125342163547926,0.8797804740254582,176,4,18,13,0.17956005268934824
32,68,0.9576817813717288,6.739998450065713e-05,0.8297698575727639,248,2,47,8,0.19159000341218418
33,170,0.984591841424228,4.803923383567945e-05,0.864111431338489,176,2,24,10,0.18309993082646275
34,136,0.9647666374020843,0.0006209619051489083,0.9156387967954325,146,3,13,12,0.1817094495581498
35,109,0.936653366929519,0.0005497860956081159,0.8814891400631026,254,1,26,7,0.18573553744300036
36,81,0.9198206398831994,6.474955612772039e-05,0.8634421138291106,479,1,24,16,0.22323920477731038
37,78,0.9659795793432708,0.0005975093705491478,0.8241214424749013,438,1,37,3,0.21675010897919664
38,174,0.9834332472446548,0.0005172962750173894,0.8952610641260432,59,2,10,19,0.17340336316716987
39,108,0.9286207879577888,0.0007930938661303675,0.9160592272015267,383,1,30,7,0.2086581277818693
40,193,0.951256355118467,0.00023342003290858227,0.8414563576622179,398,1,43,6,0.21077487611023507
41,85,0.92490218166831,0.00019783201937277346,0.8087733486771573,35,1,13,11,0.17131048466290766
42,79,0.9583870594184132,0.0008570172181795438,0.8086354795101494,435,4,48,9,0.2016464807649157
43,181,0.9106202073332779,9.840489751249708e-05,0.9145671690648338,65,3,31,8,0.1499917678153441
44,176,0.9655108429802641,0.00011908394076220793,0.8970176363525184,312,1,5,5,0.19922792542652756
45,62,0.9728591623468964,0.0002631727507797712,0.9274606398710334,328,2,28,3,0.182396084781308
46,168,0.9250147865935229,0.0009730625816294523,0.8734525481842508,33,1,35,16,0.17107410346517712
47,89,0.9693469355142561,0.0006695532685262991,0.8598995117758002,97,1,13,8,0.14292648232896896
48,176,0.9690304802465363,0.0007282199960329693,0.8233203246200745,147,1,25,9,0.1805032382232953
49,124,0.936162997953981,0.000500474896458913,0.8122344019976286,137,3,47,7,0.1684725065210348
