,Feature Size,Score
0,381,0.09787631432623345
1,316,0.08603812201951934
2,272,0.18550612003939926
3,315,0.008891570326014037
4,208,0.26624729573690176
5,97,0.49152259897963707
6,86,0.09056308232926698
7,241,0.4737386900505783
8,195,0.35794031886699423
9,174,0.3206856156424653
10,237,0.1379875892372889
11,294,0.5176336544118244
12,170,0.1687269694122829
13,84,0.22495330308815115
14,387,0.08912448316198035
15,333,0.2832872972307101
16,359,0.4266337890652732
17,279,0.14356006137068578
18,56,0.0493651796705929
19,149,0.15382550629290406
20,215,0.2011944935820223
21,135,0.006871634664632681
22,386,0.17180996892748626
23,318,0.13377338993238416
24,344,0.08176705942492937
25,240,0.15815347405534225
26,90,0.1908537033715681
27,178,0.5340411705681338
28,316,0.2745095980884617
29,186,0.08980656262703132
30,209,0.06933264842454233
31,136,0.17069107815972664
32,282,0.057697753207041666
33,258,0.09159784735829542
34,129,0.3448983121226214
35,36,0.14526557857387287
36,261,0.1539892493773683
37,278,0.3791958047505802
38,170,0.09851428509899304
39,148,0.3279993469126461
40,291,0.19685541251512167
41,231,0.6702011773844893
42,321,0.03988908508267158
43,116,0.31660009527779676
44,122,0.19429064962233222
45,106,0.09017322136921817
46,76,0.12812923641489357
47,309,0.5067552420403626
48,106,1.0947750449129101
49,257,0.1917092819178142
