,Epoch,Decay,Learning Rate,Momentum,Feature Size,Strides,Filter_Size,Kernel_size,Score
0,117,0.9481068267543958,0.0003935271478597724,0.8220243123031686,307,3,16,18,0.19783021679530313
1,55,0.9019588823520406,0.00021152388112000026,0.9281425201895095,358,3,29,12,0.20527728813677784
2,160,0.9865836691468792,0.0006933737621092665,0.9200595416894527,328,2,47,5,0.17417218069123938
3,85,0.9079995145293253,0.0008151396971129754,0.8978791002909952,265,3,49,6,0.15887572640906275
4,41,0.9738479892207021,0.0009050061843068097,0.8534070649310269,39,3,35,5,0.1368446785417353
5,109,0.9131689373375441,0.0002550841759727974,0.8585979542707581,354,2,38,18,0.2045891994700557
6,132,0.9866601599569341,1.5500507476788352e-05,0.9467445257708546,342,2,16,7,0.2031701348721981
7,81,0.945400377935686,7.371841133651018e-05,0.8782730644372523,215,4,37,7,0.14911888217405814
8,153,0.9857665580473597,0.0009571365175658849,0.8735825686075895,314,4,23,8,0.19948768962896307
9,66,0.9875440327227653,0.0001249804593330762,0.9153140984879311,388,4,45,5,0.20933419972801634
10,152,0.9732478424532249,0.0008813115103137473,0.9498536665575134,247,4,26,6,0.1825195343983958
11,145,0.9300119498770132,0.0005044996314168875,0.9115397655264196,325,3,20,13,0.20088997094025718
12,143,0.9558833737719165,9.299491426292141e-06,0.9436106016501872,262,1,36,4,0.16833879522790637
13,133,0.9168051719751524,0.0009903421712782819,0.9035272071406972,58,1,45,12,0.16855407581819146
14,133,0.9686559339533608,0.0005117001506098258,0.8135370795120845,491,1,18,6,0.22521394866206398
15,135,0.9557595818290027,0.0003660700937655856,0.8073663011667791,147,3,31,17,0.1581686899989052
16,160,0.9809339213138106,0.00016315937365285783,0.8214985772619451,442,2,26,8,0.19746080770024232
17,111,0.9514952504191397,8.217459069206627e-05,0.8955181788723497,236,2,22,11,0.19028601189089445
18,77,0.9400176445786371,0.0006477669328142894,0.8599486622872577,308,4,35,6,0.18304662828514598
19,121,0.9762164965336246,0.00038037979810771433,0.90283009819787,304,4,22,9,0.18386586789424458
20,193,0.9275654734182208,0.0005471909153828407,0.8881886307427256,263,1,17,5,0.1932123184600459
21,58,0.9123097120041567,0.0008582994425434241,0.8950398890646962,163,1,34,10,0.13813807415049867
22,53,0.9687664857462364,0.0008615481876763193,0.8725625445456414,303,1,43,3,0.19806898111517435
23,189,0.9415409246873143,0.00017708012879844416,0.8376701537332322,345,2,33,4,0.19936433568119047
24,90,0.9816252381973953,0.0009294133819517783,0.8147481291278689,425,4,17,14,0.2147612118687357
25,196,0.9328943181515097,0.0003273742708366218,0.9299505552520045,379,3,30,16,0.20808357938421318
26,82,0.971117462090221,0.00017757390366933098,0.9357953078062513,205,2,43,4,0.18252948744856298
27,94,0.965616501809453,0.0005496958764737574,0.833951076177965,197,4,49,12,0.15443588879333078
28,148,0.9159052249658317,0.0003190976185078214,0.9400470611700043,240,3,16,4,0.16415707317742514
29,52,0.9634029893328783,0.0009537706093723373,0.9278686215546114,158,1,47,15,0.16587472858787858
30,113,0.9116678375605873,0.0007015439217297419,0.8939893566773165,291,2,35,12,0.190072732583063
31,175,0.9133601720795096,0.0008699574592498874,0.8036058527666822,352,3,13,9,0.20129865547954637
32,174,0.9223507985002801,0.0001003606428852552,0.8840725748748274,267,3,15,9,0.18302788007117454
33,68,0.9534818531861436,0.0008482589780510729,0.8653290967769958,255,2,8,15,0.19022343490829088
34,199,0.9160793891647323,0.00030207608918169716,0.9337899426366095,78,2,15,4,0.14179929943919992
35,97,0.9059074595759474,0.0003489748351691359,0.9289281575491213,484,4,28,8,0.22405739445705652
36,175,0.9114331914201739,0.00014119528351571684,0.8603323112460015,373,1,23,4,0.20608712374717708
37,75,0.9643412933330386,1.9384815291272305e-05,0.9336358030643792,34,3,32,10,0.15513606143876316
38,64,0.9829363918238035,0.00036571037074387635,0.8036222682540078,297,3,20,9,0.1841915896144307
39,54,0.9667682716952509,0.0005512018658528153,0.882816527985427,273,4,34,5,0.15837494669977156
40,165,0.9092610648141446,0.0009445954397613489,0.8995684058881603,54,2,13,17,0.17296872438625402
41,190,0.9066666766723129,0.0005263113181835663,0.883207114872053,324,3,37,18,0.18671617631178364
42,141,0.9630996451959037,0.0002476491848022177,0.8737674182586571,323,3,44,14,0.20065369070007896
43,47,0.934792963989046,0.0004967289097798229,0.9369059078907087,426,2,47,4,0.21491410906852806
44,151,0.9898144076270907,0.0009654601624543915,0.8648510661351985,111,4,36,11,0.178402257679705
45,180,0.9813164215050875,0.000581290477502143,0.9000505277833163,412,4,45,3,0.212819767607884
46,151,0.9467178248517413,1.6842481992427005e-05,0.8399205054693007,109,1,13,19,0.17795432512248038
47,147,0.963203272357356,0.00013438981823379176,0.8006293104550745,420,2,44,10,0.1951791565503752
48,126,0.9425182923223149,0.0006511682068718267,0.9395606151162684,9,3,40,7,0.13225703363332733
49,73,0.9230556888108495,0.0009742743794502215,0.8746250057519074,372,1,36,4,0.18348959209967633
