,Epoch,Decay,Learning Rate,Momentum,Feature Size,Strides,Filter_Size,Kernel_size,Score
0,85,0.9460469294035411,0.00016519721861751516,0.8889241793855661,30,1,28,11,0.17769879193227983
1,70,0.950144196419587,0.00033819101361628193,0.9081593389750787,317,4,32,9,0.20782261206124064
2,176,0.9057243418235253,0.000702495756166255,0.8951256623969204,238,1,5,12,0.1745821604820825
3,116,0.9543554152455295,0.0005148072153624162,0.8836607720466574,283,2,48,13,0.19023455189134197
4,191,0.9461334515960699,0.0001084275147005386,0.8037851795376697,76,1,46,10,0.18195941158004622
5,182,0.977502145206273,0.0008826093849211636,0.9191425820078674,301,4,29,9,0.20569562977685255
6,114,0.9777701881491517,0.000644189102351221,0.9124435242164917,307,3,10,18,0.2064922625844001
7,47,0.9602420864105823,0.0005330129443463437,0.8145944893879818,278,3,21,14,0.18430593592736616
8,88,0.9719358901821346,0.0008538830573392264,0.8797896779057485,288,4,5,16,0.2039933572335361
9,87,0.9286841974006248,0.0007338384492424468,0.9245893723582244,10,2,21,3,0.1757336513338334
10,198,0.9745855566862367,0.0005620534437308849,0.8872044615020994,29,4,45,13,0.16914918823270025
11,179,0.962468230546937,0.0007924126599122147,0.9213522951900848,458,4,43,12,0.22782336723924454
12,179,0.9153811051140134,0.000899673656118467,0.8628146990068145,336,4,43,7,0.21039185061144736
13,110,0.9032986335814012,0.00015783821127644414,0.8441725063787036,492,1,8,10,0.23414246684150303
14,197,0.9607898363349787,0.0001274298560733135,0.8014872874285115,73,1,47,3,0.171516281300904
15,177,0.9806190865683033,6.941050881057328e-05,0.8198282625168614,418,3,22,19,0.22106835242962186
16,168,0.9890190707265496,0.0005607451121928306,0.8612029480451259,466,1,19,9,0.22984528657929756
17,101,0.9047742684815584,0.00017736260675853656,0.8235081094056239,191,4,43,7,0.1853326571020056
18,94,0.9581877431948137,0.00021746755410317054,0.9246507824030464,306,2,19,13,0.20635896229697603
19,130,0.9573915587767319,0.0004978354003473916,0.846079803972834,267,3,7,5,0.20135002897159868
20,106,0.9736950586875656,0.0005085640331178494,0.9215620248770482,299,1,7,16,0.2026400438840351
21,100,0.9580751761815742,0.00044063568245792414,0.872813782707986,264,4,19,5,0.20098122507803823
22,168,0.9815225912639003,0.0002975824749381072,0.901780495544682,195,2,39,9,0.18771537683426684
23,88,0.9808046356334532,7.87529798112261e-05,0.9369103212257772,187,4,22,4,0.19262277353756693
24,136,0.9181884743399493,0.0003139157521444601,0.8041664595152717,99,4,46,4,0.18107415998620646
25,107,0.9372268340301108,0.0002615303192876028,0.8872328572758572,160,2,23,19,0.19024421175409167
26,192,0.9196598489874855,0.0004718192554980259,0.8942307664919527,88,2,35,5,0.18314088755358626
27,59,0.9489422032089492,0.0004768451939064672,0.9490445890056709,4,1,22,4,0.1672395251812489
28,142,0.949131507870626,0.00022239070597286485,0.8899941324355412,359,3,12,14,0.21283420557843757
29,169,0.9174273441272378,3.827689203881695e-05,0.8870630146342575,306,3,11,10,0.19930525507707914
30,165,0.9543252339966534,2.0420724745405417e-05,0.8633819519925684,441,4,19,6,0.20603982476644556
31,136,0.9139462156983399,0.0008521361040974411,0.9117608106937317,452,2,25,4,0.21366651599417436
32,193,0.9878324082477881,0.00037774800721497565,0.8394057981976495,65,1,34,6,0.16355065027702884
33,78,0.9482862684536921,0.000775745968474371,0.8888823279546616,130,4,14,17,0.18735284805557906
34,137,0.9501567522699614,0.00029262066513529976,0.90867865662972,468,1,32,4,0.2300623742719218
35,175,0.9325909073836628,0.00030636663276515806,0.949516268308149,74,2,6,3,0.17673629904297036
36,71,0.9444148274942736,0.00025641619111841464,0.8296802515152443,92,1,24,19,0.16957603023940349
37,174,0.9742844019443544,0.00016447110066844658,0.9159619079789001,158,4,26,15,0.1899585857159072
38,84,0.9496827966654267,0.0008975181670185694,0.9099110123646641,286,3,18,18,0.2020213177102312
39,45,0.9024953652875033,0.000155262299820623,0.8480247757126809,46,2,41,18,0.16327229923198305
40,189,0.9151967878260308,0.0003259745376054498,0.9251115262253771,132,2,46,17,0.18757022079351549
41,77,0.907889357622272,0.00029217026636870174,0.8621295387470774,308,1,15,3,0.1998364290441305
42,93,0.9446821145861708,0.000836562158134683,0.9152010067899746,261,2,37,17,0.19447632881833865
43,66,0.9379291566421756,0.0003175249981776536,0.8279925290367522,350,4,16,8,0.2122477443890026
44,66,0.9306618241442626,0.0008581760090635679,0.9241219682761294,100,3,28,6,0.16772085274881196
45,186,0.9553500609157352,0.0005491704635153838,0.8245904882804407,53,2,24,3,0.17970348214875814
46,135,0.9769549438434685,0.0002893832562964878,0.8774529263578821,360,2,21,8,0.2136329356018051
47,101,0.9730399939871165,0.00040069632981751084,0.8328579453074819,305,4,22,18,0.19237745964870706
48,194,0.9838614253384541,0.0002931194587018538,0.8733807327075542,196,4,7,3,0.16854443553896004
49,181,0.9849564281797027,0.0006199564558671609,0.8955602741678101,147,1,18,3,0.1889812344013244
