,Epoch,Decay,Learning Rate,Momentum,Feature Size,Rho,Score
0,62,0.2055164867835645,0.0004567043629165698,0.9379838617662951,364,0.9176752599825818,0.0207725821897206
1,185,0.38216817072992604,0.0003560187509419226,0.8372787892713068,119,0.8614059139416935,0.028654639371868074
2,46,0.23259039002891146,0.0004562579438267927,0.94642571637671,179,0.9106836147527148,0.03177261693706659
3,53,0.5984291962198528,0.0001622575483740735,0.94195241112518,199,0.8556220048826222,0.07541187578949418
4,143,0.7394451443808648,0.0007842651620472727,0.8105968665249954,260,0.8506881600556518,0.05502445525554504
5,194,0.06711207729394238,0.00033297447870662354,0.8289082139489622,74,0.8841865354650766,0.04011786054942032
6,143,0.6550654634786868,0.0009131312818075797,0.9201299979705901,319,0.8628897595747518,0.01726139397852646
7,56,0.5185952624012059,0.0008676989192924872,0.8059887741070727,498,0.8879827759646272,0.008576942848906453
8,109,0.23040888731390102,0.0008793795018645874,0.8848841298253058,199,0.9351502791305942,0.025737883932367013
9,102,0.731304131092472,0.0003967323190967822,0.836881189190637,205,0.934501146577334,0.06275689861780999
10,175,0.22266408818370734,0.0001679281741637423,0.9378833932812961,280,0.8977781526552558,0.07812774281056833
11,82,0.5149847283013986,0.0007564465776477165,0.8581455653702675,453,0.9335700751228742,0.012901013230273328
12,57,0.350749346233442,0.0009861739565098066,0.8752035517297763,3,0.8278994212092353,0.11644361573795607
13,149,0.13610198485482314,0.00041927710085848255,0.8098898719691905,17,0.917079960302945,0.13571902544122852
14,150,0.4362724742272927,0.0006177780814316004,0.8163582699864956,416,0.8010553865655844,0.026116830556748794
15,95,0.7744545206317638,8.062025801840102e-05,0.9330863746214837,224,0.8014931973844126,0.10786965520239732
16,54,0.0002362268606312057,0.0005082416209601997,0.9029696392533961,142,0.8042023701539184,0.047731288429349664
17,159,0.3335144231766092,0.0005382814364833096,0.8030345867673935,184,0.9231027001657843,0.028267269251942274
18,63,0.21429501936302026,0.0008437225879005278,0.8957910821378994,83,0.8307059193394456,0.09531623307952256
19,127,0.05480379464060663,0.0007054713663732996,0.8577021956330351,375,0.9194713153044991,0.0015990839559767692
20,85,0.47976750652931843,6.997831397619888e-05,0.9356619232290616,7,0.8534416492311899,0.1477696816018232
21,164,0.5164329394435561,0.0004745003732034471,0.9312048684308736,478,0.9104522670373866,0.022299189847017314
22,163,0.16229202942311077,9.559167607573782e-05,0.8691066267462821,306,0.8038513247190546,0.11113944117096253
23,104,0.5463043683101118,0.0004835504638192014,0.8048250935330872,391,0.9354179909826006,0.11287448436103961
24,187,0.046271338340404894,0.00022019032434392768,0.9471966731984224,416,0.8795338449437222,0.0033744811609408296
25,64,0.7578309464663846,7.33453572913211e-05,0.8037534027535831,494,0.9279230121379437,0.3899372434934452
26,145,0.6488588732365714,0.00035568346677432604,0.8443686594465238,86,0.9464139452982047,0.08715743758314733
27,80,0.10363670068159472,0.0008693754653986167,0.8421314440894931,374,0.8034609874495816,0.0023806441438254935
28,163,0.6777212995575003,0.00031835315096706573,0.9371392347991917,242,0.8500593191200702,0.03507364389952272
29,128,0.6015111956346472,0.0007263749067619672,0.8516436511149704,222,0.9065493523617161,0.061589572509681736
30,164,0.38814865257580833,0.00018770749533225428,0.8301941118646023,320,0.8056853763643261,0.13080227430591682
31,191,0.24996932470111838,0.00016138604573476316,0.9348684554944475,441,0.8938745914655555,0.03508898022343311
32,180,0.6313341417315772,0.0005952913315343852,0.8017191362594654,406,0.8684345406529108,0.020718807440178472
33,103,0.6472679681399377,5.071980772008722e-05,0.8303035697463896,347,0.8064370979710006,0.05394709494002288
34,178,0.15459751441078132,0.00030857503531893273,0.8557104181718511,214,0.9406069723373536,0.07097774274482481
35,128,0.16252976386793147,0.000612793488493561,0.8597109203491552,406,0.8387738424384867,0.0032954264456836876
36,111,0.5748811540101896,0.00038785817554888515,0.8019599922996105,366,0.9382743110295577,0.05439860243501702
37,165,0.49993703310295773,0.0009001624296945455,0.8526812923029105,395,0.8567650326884648,0.011010261948922625
38,187,0.24717615372891757,0.00022786181081152826,0.8339487501191172,402,0.8416180362101876,0.01577539466476689
39,171,0.5871891390299131,0.0009437080900681133,0.8274787312661761,263,0.8664006978911156,0.04170955840127803
40,108,0.6381267049677605,0.000981667036214409,0.9245049677413952,76,0.9176467467732159,0.04639339223736106
