,Epoch,Decay,Learning Rate,Momentum,Feature Size,Strides,Filter_Size,Kernel_size,Score
0,96,0.9304798135711873,0.0005768585920003259,0.9428079196313676,44,3,12,7,0.17536664544669214
1,67,0.9768670419105554,6.305135707113078e-05,0.8998322946843507,245,1,5,10,0.19825789362350085
2,115,0.9569737207551136,0.0003482793611164992,0.8988989254612861,487,3,36,19,0.20685529774506187
3,103,0.9232267926275074,0.0008118810044486493,0.8931233577753546,249,1,46,6,0.19871695142937823
4,116,0.9568303928804386,0.00030721217384577286,0.9310064148015343,369,3,21,17,0.1553849325691526
5,187,0.9579791345712844,0.0002449568037230797,0.807071262748162,462,3,8,19,0.2286396919821524
6,92,0.9190366465498163,0.0008256443252314369,0.9255656664904593,158,4,41,18,0.18951903218386937
7,164,0.9017990537410001,0.0006712538351399635,0.8975542191872488,398,3,15,9,0.2185828464964519
8,142,0.9067245379081951,0.00021696904930863304,0.8746734885005876,138,2,23,10,0.18773887955710458
9,192,0.9519641986901047,0.0002495956107942461,0.9084888155603364,389,1,26,16,0.217248040238676
10,47,0.9876293674628661,0.00021512583604023166,0.854932426916856,372,3,24,7,0.21480132905248056
11,40,0.9149067977253219,0.00025521070178152023,0.8200763609893454,170,4,35,4,0.1891058270130007
12,113,0.9570598695469278,0.00013239028706587682,0.8301961974482795,435,3,8,18,0.1902868650126491
13,149,0.9262190593853529,0.0005462565000690585,0.8971631313207185,263,2,18,15,0.2003795555469781
14,165,0.9865260604385858,0.0007748856476907982,0.8149200875176164,313,1,17,5,0.2067881152543123
15,87,0.9108390133498883,0.0009369771862301781,0.9313198607746533,82,2,18,19,0.18203010726941463
16,139,0.9239625451654973,0.0003462889627049485,0.9375040517922355,302,3,44,11,0.2053301984392487
17,190,0.932736450089495,0.0004613719982225472,0.8974435378698467,69,3,47,3,0.180817278688041
18,155,0.9272204007373779,0.0008541045381578476,0.8876820301797345,54,2,26,18,0.17932906094160253
19,150,0.9270694505766596,0.000617013797681072,0.8604280979503509,479,2,36,7,0.23145436816406947
20,102,0.9520679177173418,6.587145974170994e-06,0.8874448860555472,443,4,34,3,0.22556427372341306
21,184,0.9541400770750645,0.0003595842550814426,0.8122202725794975,205,4,11,3,0.1874307746162815
22,183,0.9186723252318224,8.612037559045843e-05,0.9384515824734931,326,2,48,12,0.20853209397458983
23,154,0.9455782389884034,0.0006193039653142898,0.8578668444855257,158,2,38,7,0.18951903218386937
24,190,0.917252229965885,0.00012286455557251462,0.8245433344176422,379,3,41,15,0.21579813569480058
25,197,0.923861804154377,0.0009005654697697296,0.8885159413523882,432,1,22,7,0.22381406169629214
26,180,0.9290745936938235,0.0007297291658236062,0.8859847988376015,273,2,18,15,0.16176153875197175
27,61,0.9497531633792882,0.0005277327025638392,0.850974866375446,365,4,7,10,0.20093286422525616
28,151,0.9168825428680687,0.0009682854976549169,0.8196385409111264,190,4,47,18,0.1924466685834888
29,157,0.9142015640310799,0.0009113821630745718,0.8363527204331999,326,4,23,12,0.20853209397458983
30,177,0.9754732171227034,0.0007906485688391757,0.8395872743259681,308,4,42,5,0.20612592626022178
31,40,0.9032399445735926,0.00020509366032266945,0.9284022927917105,77,2,23,16,0.18161087762774653
32,153,0.9733605093361651,9.594692426550066e-05,0.908107517908045,165,4,7,6,0.19017250508052294
33,87,0.9356154667172538,0.0004746172175542817,0.809704425669202,126,2,8,7,0.18082478733704108
34,56,0.9136349261456971,0.0009643666424651033,0.8869780505792801,426,3,26,9,0.16204504842542045
35,45,0.9507067758706835,0.0006153058727869648,0.8650602462987113,278,2,41,12,0.2022368496605198
36,168,0.9057813614956471,0.00013716773790835673,0.8197479143876855,148,1,12,5,0.1886391896340582
37,128,0.9231674577812404,6.194710831891658e-05,0.9481671107886238,186,4,12,19,0.1920576097731553
38,188,0.9006279501328457,0.0005469179290271386,0.8808220625526186,293,1,34,13,0.20415020397454883
39,159,0.9773261308827128,0.0006470679696298513,0.905487705381278,74,3,15,6,0.1813124342913359
40,139,0.9827595945629332,0.0003660382438047365,0.8922853547971297,405,2,48,17,0.2196379585702416
41,95,0.9334411832450303,0.0003718608583206881,0.9447543099789107,312,2,13,16,0.20665587173628203
42,118,0.952649664177389,0.0004831261989607069,0.8530603901234697,21,2,21,6,0.16800737685036868
43,195,0.9415600534618869,0.0009477386855986016,0.8358950812369534,174,3,28,18,0.1910095802438793
44,170,0.9411980364465052,0.000122227746558006,0.9243494128677885,380,2,13,19,0.21594233587232067
45,102,0.9640273343770239,8.210728438777123e-05,0.8964236514081385,252,1,23,3,0.19906699745615497
46,81,0.9587103536392592,0.0007403782451261395,0.8413887961787704,304,3,14,17,0.20559468959431046
47,162,0.9470525577828468,0.00022747813211643954,0.9175879456298086,90,1,48,4,0.18290569771964352
48,85,0.979342420938804,0.0009588436961643511,0.8114625825351528,35,1,14,6,0.09407003378739956
49,74,0.9599198643829152,0.0003929204734576656,0.9048365681390528,483,4,15,19,0.17541878623547003
