,Epoch,Decay,Learning Rate,Momentum,Feature Size,Score
0,198,0.9555032048629101,0.00010567952198481783,0.9088009878961131,472,0.5361825610817388
1,171,0.9369092472831126,0.0008902406542069734,0.9457620746772641,50,0.44608115414680377
2,66,0.9472365486609756,0.0002802884134982155,0.8474042129032149,85,0.46438895427577553
3,138,0.9189974097497918,4.843049480133345e-05,0.8862366760487888,219,0.13157898544168178
4,54,0.9169363962649407,0.0003555688587705911,0.9131945574098883,73,0.05171941322073139
5,133,0.9888987695096465,0.00040219814802341664,0.8249660277399262,157,0.3888294862860695
6,84,0.9847684253710769,8.057592756180965e-05,0.8762235678435051,326,0.37811826743816596
7,80,0.9047292472255277,0.0008453727206854644,0.8208233190030347,113,0.21761560948213673
8,192,0.9339666939110101,0.0003936753250349637,0.9484548107888158,157,0.5036501003138668
9,149,0.9694559263724679,0.00037081035724907777,0.9398139812804296,150,1.1722395135974484
10,109,0.9740600307417514,0.000990908496368747,0.8887508226270203,358,0.4608015855193378
11,96,0.9610342034344963,0.0007321677794763692,0.8481141413344074,342,0.36410647348884567
12,128,0.9238643195371521,0.00023556252384597352,0.9417203255157351,327,0.39902937562056817
13,197,0.918772446391885,0.00029207423384431465,0.8950834260813236,100,0.009688447077804937
14,172,0.9722591522523926,0.0005015090241304464,0.8865210902282499,455,0.6901498256702847
15,71,0.9777989291200175,0.00022144687806544325,0.8527909330295734,201,0.33545481721029696
16,116,0.9736420100689861,0.0003679062678878256,0.9278293116339889,375,0.1702316484061478
17,102,0.9559448216555506,0.00043099068888905823,0.8773047473342719,365,0.27216599012079906
18,117,0.9534678763243318,0.0009061590361644571,0.867531470170363,480,0.037231696079776964
19,67,0.943519990422888,0.00028213994694950675,0.916671006900426,382,0.5268110808419304
20,45,0.9612760849069922,0.00024768948340424664,0.9171137660622931,92,0.5042962595888275
21,172,0.9675674811318634,0.00041622178079789773,0.8589484763850528,69,0.08500638498474708
22,127,0.9167510416407886,0.0008290941839088665,0.9026953854994644,83,0.2479471484787703
23,89,0.9499025139733204,0.0005265086716577708,0.8432386830493951,95,0.13638674247980187
24,178,0.9563954753407051,0.0001426315187479077,0.8070327477151186,139,0.1760140354826785
25,153,0.9059403451992777,1.7695890242380708e-05,0.851548184507945,258,0.9823746947017876
26,67,0.9889812524094277,0.0006126278938040089,0.9214504730588048,489,0.5761215901550125
27,102,0.9256252878330238,0.0009905318451018214,0.8184375069376875,49,0.37640357137036823
28,62,0.978446935618139,0.0006625396009711532,0.8049153383735236,493,0.1397554581012346
29,195,0.9301449744067336,0.00035989701437405156,0.9379337513852881,439,0.5091278446798629
30,116,0.9805580728468547,0.0003474680719860316,0.92816847426212,267,0.040326457026776036
31,55,0.9528401997258911,0.0003228109936066723,0.9221107020177864,111,0.3217781256665706
32,66,0.9377202024935981,0.0001171470450798666,0.8795733313333177,61,0.0295715030195229
33,84,0.9835196894178315,0.0008654079651924634,0.8523915239300528,233,0.22625400890172045
34,89,0.9876946385513277,0.000316201451314404,0.9375321485160727,439,0.2814152136128
35,174,0.9669141604074377,0.0007803477745976989,0.9108631452261842,440,0.5460001789271366
36,105,0.9305229677720016,5.239535156748998e-05,0.8567707623942545,14,0.45686058272234586
37,74,0.9254336636628228,0.00042934932513946265,0.8833430199435103,147,0.20644621073008984
38,89,0.9630398691567424,0.0009451754564448168,0.8890283206818429,20,0.3065065905134035
39,184,0.9791346213413419,1.1053652366744793e-05,0.9298705632629447,402,0.23088186749649114
40,58,0.9409303288460785,0.0007286506667303445,0.830446105929018,134,0.238531175034213
41,151,0.9307390262062575,0.0008094839243957022,0.9092018874778257,395,0.36133774279769215
42,184,0.9671233733484127,0.0006306277644124008,0.9350119129150032,204,0.20577311584312685
