,Epoch,Decay,Learning Rate,Momentum,Feature Size,Rho,Score
0,127,0.5804973179597183,0.0006562731238528702,0.9112180477278926,432,0.8134215543567085,0.013718652984801126
1,191,0.408814326400603,0.0003239331932619822,0.8062291193413201,431,0.9476977399010496,0.02384436963895675
2,96,0.23829515464897374,0.00039078344735784376,0.9173898352336901,302,0.8380659114176878,0.008274762138313093
3,51,0.17554527973443773,0.000916636659265752,0.8629030315760466,402,0.8866199417777555,0.05699685256695375
4,199,0.12841583525689543,0.0007382335858232226,0.8648109092224325,302,0.870211858358566,0.007674199786013016
5,44,0.6930981829309093,0.0008403542784498399,0.929107684201032,395,0.8934058185729297,0.019195279614959985
6,107,0.1436502404825471,4.0033782279535726e-05,0.831758179235041,28,0.9248753864538067,0.01762528019898716
7,93,0.7891896544917079,0.0005073674955085578,0.8902922908475762,190,0.8079716935652117,0.009193414492706248
8,155,0.4042013229499337,0.00015759542457172303,0.9443903852924378,130,0.8676531978350517,0.007961942784914695
9,65,0.23599335452098488,0.0004282571968272527,0.8209231134020613,319,0.8266537838168179,0.009900267669797746
10,148,0.7780264822204519,0.0006660331401044597,0.8290983719556266,44,0.8127792540851522,0.017771508408455514
11,159,0.5395324729403561,0.0004779112662750189,0.8380142043939025,421,0.8332614059529825,0.010977008504521713
12,106,0.4428759749470083,0.00021976795312245772,0.8053247084146502,467,0.8605070917242934,0.016897835145619784
13,145,0.28875553803693965,0.0002792120206415308,0.8731047005718586,269,0.9073767715444826,0.012414704981625307
14,103,0.03248359428142367,0.000547689178017098,0.879091846102299,335,0.8240131716589719,0.015975252846929515
15,41,0.022958270096534505,0.00028297851769491143,0.8377389319529085,355,0.9262594088953406,0.008839538196263373
16,150,0.06766406539875512,0.0007808221528814122,0.8823964260241649,135,0.8775575661532322,0.009261090365714788
17,98,0.39616331926508797,0.0006743007337598196,0.8724289736743658,280,0.908346761657745,0.02384659031313032
18,50,0.6695045362057842,0.00025928677136489607,0.8668207511355274,480,0.8422940449481087,0.02031814902282365
19,195,0.3389127379967719,3.027945663228812e-05,0.8273615749688901,172,0.9389336540699665,0.008818459642694114
20,100,0.4025072310986759,0.00014319201480447093,0.8286542611092477,139,0.8256430976677747,0.010047001691991206
21,170,0.27841742658346835,0.0004412856014056389,0.9405493055551346,168,0.9347119338779095,0.00675688359442444
22,164,0.1244019930242188,0.0005369902762228856,0.8262607512297573,62,0.8088659968173971,0.01209713870743185
23,178,0.06815982537047303,0.0005874442888855779,0.8200217183070858,74,0.8232914638848267,0.013059606072935381
24,118,0.5182349726520158,0.00031362679689135554,0.9184231337280323,236,0.9118171506190217,0.007667768261236501
25,126,0.1237684407611372,0.00024069930492858442,0.9368780659220868,358,0.9148319032757457,0.011228571749465526
26,121,0.061428388431039774,0.00016164525880343688,0.8320647086646412,56,0.8901468204236749,0.00880652989447534
27,108,0.41050347596368053,0.0007484973967340809,0.903366452602917,245,0.8705800746386326,0.007809067472148367
28,121,0.2581618007894192,0.0004960351446574389,0.9104959662931325,479,0.9307271399259998,0.013964290495945506
29,102,0.10284772182338937,0.0009836105794100453,0.8288773898507833,485,0.841514800003049,0.011789256738404096
30,59,0.35334141133392855,7.536928386530151e-05,0.8656803382067975,52,0.8025442949428927,0.006625000901218483
31,166,0.019270372703934502,0.0006609475756870725,0.9399521944334178,49,0.9132420240301867,0.00830129467416295
32,79,0.3957983970919468,0.0003637732956183625,0.8029881738984894,175,0.9204190373300802,0.0108567086765213
33,174,0.5639534923433345,0.0008116868717667536,0.8739518187166236,382,0.8358534866989572,0.010425268232261073
34,163,0.025726924838065202,0.0005116145940661418,0.8203880848406547,483,0.8927818193561399,0.014587641331813325
35,99,0.428867706325022,1.756976079884548e-06,0.9100895879880756,171,0.8436145724071695,0.00563175039436113
36,157,0.27521673697920107,0.000498080672493406,0.8478444603893828,7,0.842602519163232,0.008330594432953878
37,129,0.11030297999863113,0.0003341116823018866,0.927434269403675,126,0.9323480354172644,0.0075546589279482206
38,198,0.4942661456072382,0.00033526860988723664,0.9167698208312972,80,0.9177530053293534,0.007636275563164954
39,197,0.6398162751058794,0.0005253109518224199,0.9222198072649818,261,0.9230746627627339,0.010617366355739576
40,114,0.6656077311460705,1.932413064109293e-05,0.8280012732534118,148,0.8739465293388294,0.00811993642550714
41,149,0.4049228225706465,0.00015767487870416256,0.8476983808198061,380,0.8681241680557018,0.01278207340200015
42,94,0.6083028279638022,0.00094152992526607,0.8090886906652798,168,0.8775856316963527,0.00629087258130312
43,141,0.5458392951399383,0.00035526242451055503,0.9451675458798546,414,0.9179285428714637,0.010932690117649045
44,155,0.056001211573131204,0.0004041288906095558,0.8063814502037091,353,0.8522146240803248,0.01283210950801643
45,191,0.4509416580466661,0.0007303991020444949,0.9385046272096482,499,0.9396360848232983,0.012345556057407087
46,45,0.6833833162098503,0.0001014126282330367,0.9304892931214531,361,0.896380407398326,0.016961567249755293
47,145,0.12978989515195868,0.0007971554317323848,0.9184617196421648,107,0.9079791317410463,0.007427067459649501
48,43,0.6751979588765498,0.0002424702168964702,0.8465992057727936,271,0.8361428540731247,0.022393860136301635
49,122,0.6904429179411408,0.000735248974917152,0.8932259068665255,355,0.9379232239174597,0.02797394390791033
50,181,0.4017253451272258,0.0008378592075536186,0.9004228967916784,116,0.9397306226821027,0.008861329842079322
51,103,0.059921115489054794,0.0009079066268150136,0.8859346356810718,173,0.8550452893131915,0.007635083781368919
52,182,0.0894784824233768,0.00015780030614510293,0.9162467603307609,317,0.8662166054413943,0.007792058603868621
53,154,0.16011921493060433,0.0008050003895931754,0.9079723831246239,454,0.9384559168001871,0.010368018428209943
54,112,0.5802537861271582,0.0006410211076548278,0.9436588464256224,261,0.8092111139650863,0.019003529278331734
55,173,0.1655007901732155,0.0004115163342429825,0.929048791546579,343,0.9198995485798884,0.01053519430399448
56,66,0.4417038523898392,0.0004994852092384784,0.8319385694623626,287,0.9245674647260491,0.027099277291123505
57,166,0.5794765569326236,0.00010750228819393012,0.8333348116395395,293,0.8828602077133718,0.007747799136151011
58,196,0.6527016224712752,0.0001610726708497185,0.9154501426837983,434,0.9278311234217879,0.01773492845677538
59,55,0.2260062083420496,0.0009480201528719492,0.8423303999627678,489,0.8565403596321277,0.017156332334763724
60,58,0.09185328304269183,0.00013488836140695373,0.9126894210033393,416,0.805332692900176,0.021627553599543065
61,50,0.004907807359122263,0.0009699900896053302,0.888725717592684,117,0.8965991134727175,0.024131648955137832
62,179,0.42604640574245345,0.00038740301317310267,0.9283222817934207,50,0.8292782643455007,0.0113247714611394
63,187,0.41106775696006254,9.572039479760312e-05,0.8083863863005394,202,0.8725182339492212,0.007703210258424827
64,181,0.7184612342922783,8.089531552128063e-05,0.8024822896849063,87,0.9412579327792906,0.007481290919021663
65,89,0.056126299362040034,0.0007067596257421247,0.8246888693468296,123,0.9160570157486183,0.007060959776717174
66,179,0.5026583441422535,3.349327127845742e-05,0.9334560978549434,59,0.8776278776450064,0.010507853562247366
67,80,0.2520805533979421,0.0007127139743072039,0.8639122078588116,263,0.922390752145681,0.006076174245544481
68,58,0.551811992334106,0.0003151781769393665,0.8120058092196563,163,0.8871387875743508,0.011791849478928371
69,94,0.3919752151640139,0.0009507021428215105,0.8165030251412181,242,0.9068525000531329,0.008890057350799906
70,100,0.18865365887104374,0.0008828560804903403,0.8660729832056704,333,0.8065084577648759,0.006622079848709922
71,113,0.46238037989615344,0.00030581217532951976,0.8827339642229743,119,0.8704428710289462,0.0077516534708946235
72,75,0.13141032925473156,0.0007170712023177537,0.8186145150088321,325,0.8041474897857144,0.009503030628899092
73,64,0.12040028273227686,0.0006173986968281056,0.8382538138061989,240,0.8117753318477842,0.009535705021927866
74,95,0.013820897699779788,0.00043474567590960606,0.9262739902636623,84,0.9370912792208175,0.008254225801282369
