,Epoch,Decay,Learning Rate,Momentum,Feature Size,Score
185,179,0.9567336524479255,0.00042855468060861823,0.8874762305340187,80,0.04636778968896941
186,92,0.9697149683798106,6.288486241652515e-05,0.8756227215930472,245,0.22474809779167995
187,113,0.9734230629447758,0.0005864487596006877,0.9386298621265331,391,0.28893527130806224
188,147,0.9782763389673365,0.00038720373926731693,0.8119331066142144,306,0.9396267204137985
189,142,0.934894147421416,1.2459491453956133e-05,0.8106741173279234,312,0.8353556329932283
190,83,0.9037173271521821,0.0007601008355172582,0.8694150796500415,489,0.7706201770353212
191,66,0.9605911067779077,0.0007728363405890945,0.925822703660748,218,0.2321325163196387
192,58,0.9567682469954204,0.0009631447056120566,0.9116481871329245,263,0.1367117440525001
193,148,0.9886367510703306,0.00031714264532710915,0.8030809143368873,383,0.8384572507442065
194,161,0.9361724977615553,0.0009515853272567036,0.8063450257285483,421,0.08870462659041199
195,191,0.9626804001360084,0.0008450036941637734,0.9420824662901803,314,0.3183916102977791
196,163,0.9727163493925819,0.0006779693103384476,0.8059607703095196,245,1.487840401875316
197,60,0.9593074647646171,0.00045926815137082764,0.8893044003170716,157,1.454833785309636
198,189,0.9510138269190024,0.0002763546816455918,0.88366619512858,246,0.13852725708086913
199,96,0.940740322843763,0.00035293363233770964,0.8255526885966413,19,0.2294452300798955
