,Epoch,Decay,Learning Rate,Momentum,Feature Size,Strides,Filter_Size,Kernel_size,Score
0,164,0.939520404762032,0.0008520544226139245,0.8957519981795191,233,1,14,18,0.19694006132275457
1,48,0.9458087950322048,0.0006124501095905918,0.8028326537009294,96,2,25,9,0.1835043822897038
2,135,0.9009954995616213,2.0963367475519343e-05,0.8920749652125104,438,1,31,3,0.22476566915052482
3,59,0.9849568505781789,0.00022900098184175933,0.8473161904914759,65,4,26,8,0.18041810975932085
4,78,0.9270139956833706,0.0009051460398723077,0.9408940238335153,317,2,11,9,0.19922417741239692
5,91,0.9730499250609351,0.00039086145517248526,0.9333124929696854,374,4,38,19,0.2150859680216191
6,101,0.9287992483766501,0.0008515065217758539,0.8316631281713684,170,2,15,15,0.19062978071407452
7,65,0.9574405577406184,0.0007236249408325076,0.8401926120037706,218,1,21,9,0.19536252512130028
8,51,0.9705450700245697,0.0006694156536633324,0.8029950549859464,366,4,33,5,0.21395205309462564
9,187,0.9862036072318335,0.0009639170581363985,0.9311109944927436,308,4,21,17,0.20612592626022178
10,78,0.9342965185254991,0.0004758749344089925,0.8425235546695418,410,3,31,6,0.22039763804957468
11,75,0.9101037411148136,0.0007768262060000509,0.8201230994854101,496,4,48,13,0.23435734466808597
12,167,0.9758732538369439,0.000249634332156362,0.8872037242353602,318,4,7,4,0.20745475110880773
13,169,0.9092380474032125,0.00037211406708304777,0.8403548240450175,36,2,9,18,0.045733245705052494
14,165,0.929472884956552,0.00022733838786124122,0.9077013617210619,424,2,19,5,0.22255789810105375
15,81,0.9236345213160032,0.00037654092736141224,0.9129432066207099,123,3,28,10,0.18618674784777892
16,160,0.9850798099551638,0.0005326200335084884,0.9223592907137197,456,4,11,9,0.22766309791516676
17,109,0.9180754375494348,0.0008031348396220916,0.9367024635183752,355,4,28,18,0.21242625059103631
18,104,0.9087715858655997,0.0004923252127491914,0.8583069471761369,32,1,23,15,0.17552547840976623
19,111,0.9635207176121985,0.0006182751600814814,0.81256138842949,139,1,40,17,0.18783748339404138
20,181,0.9830727847087333,0.0007577679350226565,0.9487911940985694,54,3,38,17,0.14183753902160026
21,48,0.9724461687822561,0.0006489507699905113,0.8342081147168509,197,2,45,15,0.1931546713173678
22,60,0.9298488539645048,0.0007811231939940232,0.8595126437454814,354,2,39,16,0.2122940722616221
23,189,0.9535169760247598,0.00022874130695515896,0.8754993293471499,149,3,39,18,0.18873101014863042
24,41,0.9390601891565231,0.0002753804762784893,0.8373877112959761,187,4,8,14,0.16846680415236132
25,50,0.9325990049851535,0.000691693708059728,0.9433961755225805,97,1,6,9,0.18334743792624913
26,134,0.9255521609630233,0.0007280163093300344,0.9064642392226314,499,1,28,13,0.23487808373239305
27,138,0.979693498593705,0.0009723653204222128,0.8453422636487394,410,1,7,19,0.22039763804957468
28,113,0.936741937988784,0.0008487318399527574,0.8635833832183165,156,1,16,8,0.1893335244999577
29,136,0.9413868042731932,3.79230756869345e-05,0.8025684658096617,329,4,16,10,0.20894078481452247
30,192,0.9815765835649132,0.0003890894585756943,0.8658329194512524,394,1,47,19,0.21798548570920512
31,135,0.9854918951205165,0.00044109018104552145,0.8312810257548848,441,4,21,5,0.22524418256414885
32,118,0.9487167857854055,6.474619032646873e-05,0.847593502795264,121,2,20,9,0.18597969133406878
33,123,0.910577931597318,0.0005847112954633579,0.921230056772362,34,2,14,18,0.1413385570049286
34,143,0.923238324264489,0.0003717013381654912,0.815825292201409,473,2,11,10,0.23044874206142024
35,152,0.9326135111026006,0.000323241198011705,0.8914989593016296,38,1,44,18,0.17778034177662785
36,127,0.9085956167319438,0.0006696130089491575,0.8589235654600093,275,2,44,6,0.20185947065801374
37,175,0.9310336593149764,6.591358236483912e-05,0.8024327731507058,6,4,31,3,0.10107305611984535
38,176,0.9767395364075022,7.051089271326884e-05,0.8071235834003261,176,3,24,19,0.19117930244255835
39,142,0.9129290451930218,0.00041077081120588363,0.9263576274323027,461,3,46,18,0.2284771808200336
40,136,0.968786790238208,9.95572980112169e-05,0.9290498841867174,97,2,39,18,0.18360366559370536
41,61,0.9873426309426613,0.00039135207689948215,0.8836092907569946,264,1,28,18,0.2004999065013714
42,41,0.9532592710569007,0.0004709237744370257,0.9364699480452983,150,3,39,12,0.1888231170517757
43,105,0.9205819699661244,3.7746250701588864e-05,0.9313295771339211,123,3,9,17,0.18612935735497663
44,169,0.9469969592679988,0.00030386207166099616,0.8358896360067388,122,3,5,19,0.18608398972802861
45,130,0.9683768899152017,0.0004320277692370583,0.8094802361553631,324,2,25,16,0.20826045713219488
46,73,0.950791645926024,0.0005930394290826094,0.8079601284446054,426,3,40,9,0.22287068639057922
47,187,0.9860866179392608,0.0005674523391062426,0.9458463071761185,118,4,47,8,0.18566763357128593
48,52,0.9234293649313738,0.00015448822126891938,0.9281944442189751,138,2,29,18,0.1715508246982676
49,185,0.9478420388075143,0.0004278861178642842,0.8656198688919134,199,2,16,14,0.19336114552888004
