,Epoch,Decay,Learning Rate,Momentum,Feature Size,Strides,Filter_Size,Kernel_size,Score
0,180,0.929167966407913,0.0006134269744153179,0.8804773457885934,356,4,5,16,0.2125662675817302
1,67,0.9357980454768731,0.00046273078503667494,0.9191637614818335,449,1,17,7,0.2265300556485142
2,51,0.9328550359027903,0.00021666458030652003,0.9368918087288229,448,1,41,19,0.2263689500297673
3,194,0.9650285038409886,4.870419288004792e-05,0.8734664223312802,474,4,7,4,0.23061601275747473
4,41,0.9842054270275223,0.000954797136538233,0.8888545890324594,472,1,23,17,0.23028210746956287
5,172,0.9872802414463528,0.0005708706609691409,0.9122180189009402,277,3,10,14,0.20211079954845076
6,132,0.9497133868068403,0.0001159216372965063,0.944613444500684,372,2,27,17,0.21480132905248056
7,141,0.9207261967201061,0.0001975366971997168,0.8647789642796925,395,3,40,19,0.2181344396925366
8,110,0.9248367680655205,0.000874477803044451,0.9234536555243854,345,1,14,17,0.2110876830844605
9,125,0.9188091072134432,0.00017568852936698988,0.8964836014362741,462,4,38,7,0.2286396919821524
10,45,0.9653022280985109,0.0007626096543611691,0.8616327649560251,276,4,39,13,0.2019849695971038
11,48,0.9219844420467599,0.0008562518145169821,0.8776796358470156,18,1,38,5,0.06051798000858495
12,113,0.9848633901021456,0.00022860961825556844,0.9418466063861619,33,3,38,15,0.08117714710328482
13,181,0.9151629091847311,0.00017961421151901374,0.8898236699977038,493,4,21,19,0.23383917158420106
14,134,0.9566261155840237,0.0004703480585254468,0.8386152079095568,227,1,48,7,0.19629489604278058
15,93,0.9139117052862971,0.000647586190038568,0.8442163778555997,307,3,22,8,0.17129123477620373
16,89,0.9128141846678306,0.0005187022226925998,0.9438203439258523,80,3,28,19,0.18190878920716172
17,69,0.9153826728450413,0.0006157752271160713,0.8939328522442731,439,3,40,14,0.2249250297850751
18,51,0.9601374426269076,0.00031918139594134333,0.863472115418208,122,1,24,11,0.18608398972802861
19,182,0.9558638408263417,0.0006595679512210744,0.9192445966427899,60,3,14,3,0.16603879358404972
20,48,0.9503568003682044,0.00022027855314101524,0.8661048343158252,157,4,41,13,0.18935669382624593
21,158,0.9280214412310717,0.0004014652543223434,0.8928416541010974,418,2,35,9,0.22162506962097417
22,191,0.9762207758248833,0.0006730933336545865,0.8285968749762446,68,4,6,7,0.18071943981042743
23,133,0.9160346350268245,0.00014148062605187127,0.844788095372542,244,4,46,10,0.19814370701385436
24,124,0.9151122967878058,0.00045778368881520693,0.9411040687575524,168,1,46,3,0.19043993552762223
25,186,0.9370948422172692,0.0009398051110012559,0.9274165408328175,350,2,15,7,0.15979272227304392
26,71,0.9646859653363757,0.0005517579231582396,0.8586574428990759,454,1,24,3,0.2273391196804662
27,190,0.9331134913912169,0.0002921328417549965,0.8093552073400357,144,4,10,10,0.18828830940108146
28,174,0.9774355125183876,0.0003258317595789386,0.8212259202797539,402,3,41,6,0.21918405488432072
29,66,0.9577306758769039,0.00031105704732460496,0.8632151049422607,254,3,6,17,0.19930072159135603
30,148,0.9111082123520721,0.0008243722008789328,0.8926079901700898,370,1,35,11,0.2145154253252863
31,178,0.9617965761747898,0.0004242863416988187,0.9463060410228261,478,2,17,18,0.2312860262602633
32,195,0.9260391121621008,0.000491950268282329,0.8486586569572295,122,3,25,7,0.1842504769960579
33,176,0.985190137961015,0.0001466297255564327,0.8756280920837191,301,3,31,9,0.2051980202555541
34,192,0.9084214356066032,0.0004869109095937264,0.9005103351094111,112,4,14,9,0.18506544582635834
35,100,0.9027294062381879,0.0007266535343836344,0.8269774217965739,35,2,31,6,0.13918100234815212
36,117,0.9317267959265144,0.0003486929267828673,0.8504107955109366,428,2,5,4,0.2231843526475787
37,198,0.9304704562545908,0.00047606540264024066,0.8155212467197376,183,4,39,18,0.19178855035449563
38,117,0.9154609149017352,0.00031960552299638214,0.8965663917198451,33,3,7,13,0.1722772866713154
39,115,0.9737471829821733,0.0008409448703025026,0.8203359890846521,24,3,18,10,0.17659475940139327
40,140,0.9358860099652421,1.3449918537439594e-05,0.8215913387507189,315,1,6,9,0.20625087413864
41,65,0.949798975535824,5.401707106938891e-05,0.8591940463961101,234,2,11,13,0.19704523343512148
42,48,0.976865247953895,0.0007709465033222693,0.8323447471919128,31,1,22,10,0.17724247982498048
43,105,0.9599829870243597,0.0009600338590489385,0.8855455242843313,319,1,24,14,0.2075884570093716
44,86,0.9134773817082185,0.0008464055524728594,0.8825309803082543,411,2,33,9,0.22052787267635363
45,76,0.9581496413995778,0.0008229056349592224,0.9158197643609893,311,4,37,13,0.20652437414755978
46,100,0.9306434984441674,0.0008424102805179889,0.9287789261922826,477,2,40,18,0.2311180323992283
47,86,0.965713118720474,0.00021180614088493974,0.8142740188646593,225,2,17,4,0.19607582645665103
48,131,0.9239708483270894,0.00017547229084032375,0.856325829610587,174,2,31,13,0.1910095802438793
49,127,0.945830409514571,0.00016120213529138863,0.8977952032486332,23,3,32,15,0.1101871169552713
