,Epoch,Decay,Learning Rate,Momentum,Feature Size,Score
0,29,0.9476977811405631,3.501152623673922e-05,0.9370080189666183,118,0.02286471682438614
1,24,0.9055979575483666,9.584261497227179e-05,0.8652523866716262,351,0.010882873726180442
2,23,0.9226130050361552,1.2794061262513693e-05,0.8994170050950496,367,0.002141410799034066
3,35,0.9231739392210709,5.950469603039976e-05,0.8520718588771669,19,0.022587856696484363
4,38,0.937681190346765,4.247195716064568e-05,0.9466565133705737,278,0.017686310049760942
5,30,0.9081666355554046,5.748791329933695e-05,0.8259264036703905,247,0.002129357516894053
6,37,0.9329190999989211,4.284671445570512e-05,0.8542521935506971,91,0.025204747934415638
7,24,0.9077992429858527,7.566640802081564e-05,0.8824358507404219,200,0.011419544983360277
8,20,0.9231716889779362,6.714832276227629e-05,0.8317024899617023,207,0.01892289926870427
9,33,0.9173425387644913,7.615779043275409e-05,0.9204739339751798,352,0.025029857517938885
10,22,0.9342921163702795,6.6682797042992316e-06,0.9043535550372805,96,0.059835560933472365
11,34,0.943730588570013,6.125013325846027e-06,0.9356413051711722,398,0.02634627407305768
12,30,0.901120400396644,3.63087450525958e-05,0.9180740219676939,196,0.009116122631507757
13,27,0.90590769193398,5.5373536798613453e-05,0.9341986495223091,325,0.00862476844266892
14,21,0.92055160983133,7.656019917100732e-05,0.872924769542394,62,0.019534837174637432
15,24,0.9228218244476498,2.247520803718374e-05,0.8749609450961945,95,0.01319260099549838
16,23,0.9362360053459172,2.3195369808066308e-05,0.9375477075320033,68,0.024969212256745765
17,34,0.9334441939287688,3.257268041545783e-05,0.8212052559581264,337,0.02205643921849191
18,26,0.930855550956934,1.6548326379558347e-05,0.8158213766001194,328,0.0025901223884715824
19,25,0.9406817577720626,3.3892684021684624e-05,0.9455255719858934,354,0.0026177273041778997
20,25,0.9323819309998045,7.899691502768032e-05,0.8101175514949951,315,0.010156060931270975
21,26,0.901786424947472,7.35044074992557e-05,0.8110252736168391,318,0.002087577165463778
22,30,0.9068062580701883,8.24664698570025e-05,0.9168282819143864,370,0.005071587201002884
23,37,0.9169920925911053,5.420341410178443e-05,0.8038624292255572,334,0.007521920715488336
24,21,0.9046503296088025,1.2566658898385122e-06,0.9020699064654426,235,0.022519883025708818
25,25,0.9339294328456177,4.729375600000902e-05,0.9113238348367584,292,0.0023412211047064875
26,31,0.9017876083213084,8.92714140618652e-05,0.8125793931676399,316,0.0047250726461034575
27,33,0.9131026849084355,4.949212880644572e-05,0.9261883104576435,100,0.022988203695914297
28,30,0.949764347352879,8.648892174918956e-05,0.8487818967599619,320,0.003990044419588851
29,24,0.9285243962499692,7.5255985018186785e-06,0.8032856438911214,374,0.0022331555139232804
30,33,0.9177461307460505,7.964505671871528e-05,0.8744295027113467,156,0.022175986906414143
31,30,0.946582432241224,1.649561308696613e-05,0.8865139541755697,89,0.01607141580062887
32,30,0.939294930127951,2.9460264754993773e-05,0.949617216732743,70,0.01997964538194441
33,33,0.9499356495853797,4.629209166007895e-05,0.8647951416447222,273,0.007883306842005276
34,26,0.9131048058306114,3.0667694095678275e-05,0.8438040945982663,287,0.009285137132169542
35,39,0.944621856420575,2.6793056986666494e-05,0.8710680879102184,347,0.007256784183549443
36,39,0.9425205233149446,9.060294602627745e-05,0.8072117203368966,53,0.014825977784851665
37,38,0.9202871491113662,4.327176809882412e-05,0.9242053159920576,236,0.0014068912859695267
38,35,0.9026814405383674,8.353915146748423e-06,0.9188830425851438,375,0.03655549546737978
39,20,0.9066230112386472,3.228274082979304e-05,0.8855575747574304,375,0.0014222441098304247
40,36,0.9287024072840686,8.593252889237036e-05,0.8796928302826075,34,0.021782200309588055
41,33,0.9291585464704503,5.617440127972822e-05,0.8171481300164489,261,0.00228340788859259
42,20,0.9484560554772427,6.31786327221049e-05,0.8984358951227396,379,0.006918274664453098
43,22,0.9000879538932579,6.29032657334621e-05,0.807723773723244,347,0.030993965498006662
44,21,0.9100828280525204,4.2548845168315595e-05,0.8559887497868163,239,0.02078203646279058
45,21,0.9244137380217192,3.686718898029495e-05,0.8118061448857893,71,0.021644900797459784
46,39,0.9240176818028142,9.082283273381066e-05,0.9435413395880408,210,0.006410023658057018
47,28,0.9224280907173988,2.436498172457057e-05,0.8297073721636418,151,0.01925133932481004
48,32,0.9194783714215904,8.578843364450203e-05,0.8504347237796649,103,0.017450407378765413
49,21,0.9307678646767966,3.0106763379173465e-05,0.9428677966778799,248,0.0198848747672838
