,batch size,Score
0,194,0.6355370189010014
1,91,0.15853901081354507
2,113,0.2763797100299851
3,57,0.09970987209829421
4,356,0.0859090091260381
5,215,0.017838296661353555
6,185,0.14826227458256114
7,323,0.4479863119514315
8,279,0.44414496126253744
9,183,0.16990139936640558
10,231,0.028342248168138958
11,65,0.14436946393034905
12,379,0.2604076320564595
13,354,0.2097658162305424
14,36,0.36255111374645993
15,341,0.24410914066670972
16,338,0.12037901514910224
17,54,0.2804930538231553
18,297,0.17355430185456167
19,54,0.4742473669658985
20,197,0.2414486966696863
21,351,0.0053669924516815785
22,113,0.44118042778160893
23,126,0.07066419009554147
24,241,0.2570488796323748
25,30,0.3226136289644469
26,247,0.060309731180378114
27,6,0.3323444337800553
28,305,0.6172445265309419
29,202,0.06525098546741648
30,375,0.15074451916181475
31,241,0.20924100342441412
32,364,0.0654694583015542
33,272,0.2443752425309712
34,65,0.032969726160099376
35,74,0.06569209763019848
36,285,0.13901916728595518
37,374,0.023470206701224954
38,38,0.2176609671452261
39,243,0.3114462963878831
40,236,0.22480067930161213
41,359,0.21592545145019354
42,183,1.3406119431144834
43,278,0.018621167420735454
44,205,0.681848820160687
45,123,0.18904324835777275
46,205,0.23084402969684298
47,170,0.27495540134075097
48,211,0.15549942530395294
49,18,0.13545372312304502
50,29,0.39499154511964063
51,110,0.032197763035638316
52,32,0.6044375267695666
53,155,0.008261930979432322
54,288,0.052265480838038704
55,370,0.10266648321194426
56,33,0.3851516057065138
57,121,0.009440699199330993
58,110,0.14120269589351886
59,291,0.8992892902128953
60,222,0.24709717427719047
61,349,0.2820534720047077
62,280,0.4225205573876781
63,75,0.356395846190439
64,255,0.03312875974965705
65,64,0.5527851922493993
66,285,0.8296405387857606
67,235,0.07237402154337974
68,87,0.14838110408043365
69,182,0.10197038318225524
70,209,0.20066073908167187
71,304,0.23760167987550257
72,297,0.1668890883976763
73,237,0.12484764084142964
74,85,0.6252373013131964
75,7,0.14414556156572705
76,94,0.02283847999649017
77,242,0.03160031547304243
78,34,0.21968951862730013
79,49,0.3004699911665533
80,115,0.16774965196523364
81,121,0.4349500185974951
82,95,0.25991274444909107
83,17,0.1879362858227437
84,294,0.006310781050273333
85,336,0.23779414760426057
86,165,0.2879340050302827
87,241,0.18586263470749367
88,236,0.03593596444560148
89,35,0.7236169028895575
90,12,0.04264920763370739
91,127,0.28605606781228027
92,99,0.2245813481356229
93,50,0.17344856269735542
94,10,0.02762949191459654
95,146,0.04623829011344184
96,27,0.24007495443911767
97,220,0.532025331603081
98,29,0.10705824757369105
99,332,0.028018228206834847
100,198,0.25495281584814866
101,157,0.21898321636834442
102,314,0.21968059925767836
103,287,0.16734854697946397
104,365,0.015878026003111667
105,267,0.04785574104806239
106,367,0.09129826437820457
107,27,0.6297427540518005
108,258,0.3008117087701074
109,88,0.3612786496241549
110,294,0.36224016037669554
111,196,0.05295980220645174
112,243,0.3752549042047794
113,310,0.037577298054209916
114,196,0.017616870715577906
115,128,0.3449611402124413
116,379,0.2965678852179778
117,164,0.013012121037705788
118,136,0.11564922205508577
119,346,0.010789351873279398
120,162,0.09462325773317336
121,172,0.30347513233968276
122,110,0.329451550243627
123,379,0.24589424772372792
124,47,0.16737913305305308
125,170,0.4467691498303134
126,20,0.13096930899202872
127,354,0.037714854025181904
128,29,0.25869278862972017
129,279,0.3575787500493721
130,278,0.1647002984854308
131,272,0.0035656292373750656
132,231,0.0443432933005335
133,113,0.21724573446382556
134,131,0.10153460394082457
135,136,0.3973257341024468
136,152,0.22218024342503018
137,328,0.1451594709693236
138,105,0.13542452339883432
139,29,0.48261455451352386
140,178,0.4133362789194487
141,341,0.44768693316445657
142,370,0.011615626026969916
143,147,0.08968833419071003
144,306,0.35940869623595034
145,123,0.10273543725135131
146,116,0.20873470817992115
147,213,0.2748760881680757
148,191,0.2720972376685723
149,125,0.3531318407424933
150,130,0.004515179415450229
151,279,0.4168556271638521
152,278,0.15130706031462973
153,69,0.15314883837829468
154,200,0.10501315837505353
155,15,0.06697907420853008
156,277,0.18603168603625486
157,173,0.5873733960498079
158,218,0.44250763009415206
159,287,0.0393597933758158
160,316,0.19780652432448484
161,54,0.03482652133598169
162,94,0.2901038467390501
163,221,0.3358465430176671
164,329,0.4471410164370948
165,25,0.22563267929015102
166,208,0.5709303599107528
167,183,0.07903627451838278
168,221,0.007200381369009285
169,201,0.21533897530849377
170,170,0.3868755130081235
171,207,0.17454763152155534
172,96,0.8975113187031436
173,54,0.26920893100404936
174,368,0.3246517952931814
175,43,0.16344547614728783
176,211,0.13089178116256422
177,350,0.31341525106678
178,318,0.2545756397130014
179,3,0.26068058748431294
180,292,0.19003195819873414
181,13,0.17941746458044372
182,325,0.3156670338548617
183,109,0.7916611517682035
184,276,0.13654938324023624
185,4,0.01024245151415863
186,286,0.6690226261024222
187,68,0.12210841407068074
188,145,0.58226925875676
189,355,0.18468188397078353
190,334,0.12358370356867218
191,352,0.16966493089090695
192,146,0.007415415710171802
193,346,0.016472710843631593
194,193,0.17979652770283727
195,127,0.47913042938473993
196,73,0.6687030382775099
197,50,0.35914635383188864
198,8,0.33188528413230106
199,136,0.08341385134990961
